uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_del_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
47,Minería ,Fortalecimiento ENAMI,"Potenciaremos a ENAMI, cambiando su gobierno corporativo, a fin de que reduzca sus costos y fortalezca su alianza estratégica con los pequeños y medianos mineros",40%,4,,,9083-05,Introduce perfeccionamientos en los regímenes de gobierno corporativo de las empresas del Estado y de aquellas en que éste tenga participación.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9487&prmBoletin=9083-05,1,,,,,,,,,Primer Tramite,"0,4",5,,,5,,,,1,4,,"Se especifíca la potenciación de gobiernos corporativos, es especial de ENAMI.",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
49,Minería ,Liberalización de la explotación de hidrocarburos,"Liberalizar el precepto constitucional que establece que sólo el Estado puede explorar y explotar sustancias no susceptibles de concesión, entre las que destacan los hidrocarburos sólidos y gaseosos",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
51,Minería ,Reforma a CODELCO,"CODELCO continuará siendo de propiedad del Estado, aunque con un nuevo gobierno corporativo que le dará una dirección más profesional y alejada de las presiones políticas ",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
28,Obras Públicas,Coordinación de conceciones de Obras públicas,"Se institucionalizará la Coordinación de Concesiones de Obras Públicas, con oficinas regionales, que será un organismo autónomo del estado relacionado con la Presidencia de la República a través del MOP",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
30,Obras Públicas,Concesiones públicas,"Se extenderá la industria de las concesiones a otros sectores, como la construcción y operación de hospitales y establecimientos educacionales, además del transporte público, parques, plazas, centros de turismo, de deportes, de cultura y re- creación, entre otros",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
32,Obras Públicas,Financiamiento privado vía concesión pública,"Realizar una reforma para incorporar financiamiento privado por la vía de la Ley de Concesiones, para aumentar la inversión en infraestructura de aguas lluvia",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
104,Pueblos Indígenas,Descentralización del Fondo de Desarollo Indigena,"Descentralizaremos la ejecución de la asignación del Fondo de Desarrollo Indígena, la que se realizará por concursos radicados en las municipalidades, que serán supervisados por la nueva Agencia de Desarrollo Indígena",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
105,Pueblos Indígenas,Reconocimiento legal a pueblos indigenas,Reconocimiento en la Constitución de los pueblos indígenas,40%,4,40%,4,5324-07,Proyecto de reforma constitucional que reconoce el aporte de los pueblos originarios a la conformación de la nación chilena.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5710&prmBoletin=5324-07,1,,,,,,,,,Primer Tramite,"0,4",9,37,2,48,,,,1,4,,"Los proyectos están incluídos en la promesa, sin embargo, no se cumple en el caso de la creación del Consejo de Indígenas. Además, la promesa posee elementos difíciles de medir y ambiguos en su contenido. Los proyectos hacen referencia a la promesa, no obstante, no logran contener todos los elementos de la promesa, que son variados y significativos.","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
105,Pueblos Indígenas,Reconocimiento legal a pueblos indigenas,,,,40%,4,5522-07,Reconoce a los pueblos indígenas de Chile.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5903&prmBoletin=5522-07,1,,,,,,,,,Primer Tramite,"0,4",11,37,2,50,,,,1,4,,,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
107,Pueblos Indígenas,Agencia de Desarrolllo indigena,"Se reformará la institucionalidad responsable de las políticas del Gobierno Central para los pueblos indígenas, y se transformará a la CONADI en una Agencia de Desarrollo Indígena que concentrará su función en la ejecución directa de las políticas y la coordinación de éstas con los municipios y otros entes. Los nombramientos en la nueva agencia se harán a través del mecanismo de Alta Dirección Pública",100%,4,,,9041-31,"Modifica la ley N° 19.253, sobre normas de protección, fomento y desarrollo de los indígenas, estableciendo dieta para los Consejeros Nacionales de la CONADI y para los Comisionados de la CODEIPA que indica.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9454&prmBoletin=9041-31,,,,,,,,1,,Promulgado,1,,3,,3,,,,1,4,,"El proyecto reformula la CONADI, de manera de orientar su acción hacia programas de mayor impacto en cuanto a fomento productivo y económico. La elaboración la Agencia de Desarrollo Indígena se vio supeditada a la creación de un Reglamento para la Consulta Indígena, según el convenio OIT 169.",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
108,Pueblos Indígenas,Consejo de pueblos Indigenas,"Existirá un Consejo de Pueblos Indígenas a nivel nacional que tendrá como función asesorar al Gobierno en el desarrollo de la política indígena nacional, funcionando como órgano consultivo central e integrado exclusivamente por miembros de las etnias reconocidas por la ley, elegidos a través de un sistema representativo",100%,2,,,9041-31,"Modifica la ley N° 19.253, sobre normas de protección, fomento y desarrollo de los indígenas, estableciendo dieta para los Consejeros Nacionales de la CONADI y para los Comisionados de la CODEIPA que indica.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9454&prmBoletin=9041-31,,,,,,,,1,,Promulgado,1,,3,,3,,1,,,2,,No se crea el Consejo de Pueblos Indígenas,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es marginalmente coherente con la promesa realizada
113,Pueblos Indígenas,Devolución de tierras,"Se perfeccionará la entrega de tierras a través del subsidio establecido en el artículo 20 letra a) de la Ley Indígena, con un claro énfasis en los subsidios individuales",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
87,Salud,Reforma a la gestión hospitalaria,"Modificaremos el gobierno corporativo de todos los hospitales, permitiéndoles un mayor grado de autonomía y mejores remuneraciones en relación a la calidad de la atención",40%,4,,,9083-05,Introduce perfeccionamientos en los regímenes de gobierno corporativo de las empresas del Estado y de aquellas en que éste tenga participación.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9487&prmBoletin=9083-05,1,,,,,,,,,Primer Tramite,"0,4",5,,,5,,,,1,4,,Establece mayor autonomía y mayores remuneraciones para la calidad de la gestión,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
74,Seguridad Ciudadana,Creación del Ministerio del interior y seguridad pública,"Aprobaremos el proyecto que establece el Ministerio del Interior y Seguridad Pública, y la Subsecretaría de Prevención y Rehabilitación, que entregará claramente la responsabilidad gubernamental en el ámbito de la seguridad al Ministerio del Interior. La dependencia de la Policía de Carabineros e Investigaciones pasará a este ministerio",85%,4,70%,4,8517-25,"Modifica ley N° 20.502, que crea Ministerio del Interior y Seguridad Pública y, Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol, facultando a los municipios a constituir Consejos Comunales de Seguridad Pública.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8919&prmBoletin=8517-25,,,,1,,,,,,Segundo Tramite,"0,7",,2,,2,,,,1,4,,"El boletín 8517 crea el Ministerio del Interior y Seguridad Pública, y la Subsecretaria de Rehabilitación y Prevención. El boletín 4248 traspasa a Carabineros e Investigaciones al ministerio del interior","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
74,Seguridad Ciudadana,Creación Ministerio del interior y seguridad pública,,,,100%,4,4248-06,"Crea el Ministerio de Seguridad Pública y el Servicio Nacional para la Prevención del Consumo y Tráfico de Drogas, y modifica diversos cuerpos legales.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=4629&prmBoletin=4248-06,,,,,,,,1,,Promulgado,1,19,41,7,67,,,,1,4,,"El boletín 8517 crea el Ministerio del Interior y Seguridad Pública, y la Subsecretaria de Rehabilitación y Prevención. El boletín 4248 traspasa a Carabineros e Investigaciones al ministerio del interior","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
75,Seguridad Ciudadana,Creación de la Jefatura Comunal de Seguridad,"En el nivel local, estableceremos como máxima autoridad en materia de seguridad al alcalde. Crearemos el cargo de Jefe Comunal de Seguridad, que estará a cargo de los programas comunales de seguridad, y que deberá tener perfil técnico y ser elegido a través del Sistema de Alta Dirección Pública",70%,2,,,8517-25,"Modifica ley N° 20.502, que crea Ministerio del Interior y Seguridad Pública y, Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol, facultando a los municipios a constituir Consejos Comunales de Seguridad Pública.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8919&prmBoletin=8517-25,,,,1,,,,,,Segundo Tramite,"0,7",,2,,2,,1,,,2,,"Le da atribuciones a las municipalidades en general. Sin embargo, no menciona al Jefe Comunal Municipal, lógicamente no incluye sus funciones",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada
76,Infancia y Juventud,Reforma del SENAME,"Reformularemos íntegramente el SENAME, creando el Servicio Nacional de la Infancia dependiente del nuevo Ministerio de Desarrollo Social, separando las funciones que actualmente realiza. La adopción y protección de menores corresponderán al nuevo Servicio Nacional de la Infancia",40%,4,,,8487-07,"Suprime el actual Servicio Nacional de Menores, creando dos nuevos Servicios de atención a la infancia y adolescencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8883&prmBoletin=8487-07,1,,,,,,,,,Primer Tramite,"0,4",5,21,,26,,,,1,4,," El proyecto de ley boletín 8487 suprime el actual Servicio Nacional de Menores, creando dos nuevos Servicios de atención a la infancia y adolescencia. Este, posee una coherencia total con la promesa",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
77,Seguridad Ciudadana,Reforma Gendarmería,"Se concentrará la labor de Gendarmería exclusivamente en el resguardo de la seguridad en recintos carcelarios, liberando a la institución (SENAME) de las funciones de rehabilitación y reinserción que en la actualidad no desempeña satisfactoriamente. Éstas quedarían a cargo de la Subsecretaría de Prevención y Rehabilitación del Ministerio del Interior",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
78,Seguridad Ciudadana,Aumento de dotación de carabineros en los espacios públicos,"Se aumentará gradualmente en 10.000 efectivos la dotación de Carabineros en la calle durante los cuatro años del próximo gobierno. Para ello se incrementará la formación de Carabineros y Oficiales, se asignará personal civil a las labores de administración en Carabineros y se recontratarán Carabineros en retiro",100%,3,,,6962-02,Aumenta las plantas de Personal de Carabineros de Chile.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7358&prmBoletin=6962-02,,,,,,,,1,,Promulgado,1,,7,,7,,,1,,3,,"Este proyecto de ley se encuentra promulgado, pero posee una coherencia parcial porque la dotación sólo aumentó en 7.774 cupos para ingresar a Carabineros. ",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es parcialmente coherente con la promesa realizada
79,Seguridad Ciudadana,Implementación del Brazalete de Seguridad,Se implementará un sistema de monitoreo electrónico a distancia (brazalete de seguridad) en casos de delitos de violencia intrafamiliar y otros de naturaleza grave. La administración de este sistema quedará en manos de una entidad especializada,100%,4,,,5838-07,"Modifica la ley N° 18.216, que establece medidas alternativas a las penas privativas o restrictivas de libertad.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=6214&prmBoletin=5838-07,,,,,,,,1,,Promulgado,1,19,20,6,45,,,,1,4,,"El proyecto de ley boletín 5838, que modifica la ley N° 18.216, que establece medidas alternativas a las penas privativas o restrictivas de libertad, se encuentra promulgado, y cumple con la promesa señalada. ",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
121,Seguridad Ciudadana,Tribunales Vecinales,Creación de Tribunales Vecinales para facilitar el acceso a la justicia. Estableceremos gradualmente en la mayoría de las comunas del país estos tribunales,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
136,Seguridad Ciudadana,Centros judiciales de Violencia intra-familiar,"Se crearán también los Centros Judiciales de Violencia Intra-familiar en los Tribunales de Familia a lo largo del país, para que en casos urgentes toda mujer, niña o niño agredido, reciba la protección y reparación que merece de manera oportuna y eficaz",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
63,Trabajo y Previsión Social,Reforma al Salario Mínimo,"Crear una nueva institucionalidad que permita que se tomen en cuenta parámetros técnicos en la fijación del salario mínimo, incorporando en el análisis el riesgo de desempleo e informalidad de los trabajadores jóvenes y de los menos calificados",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
65,Trabajo y Previsión Social,Extensión horario de sala cunas,Se ampliarán los horarios de atención de las salas cunas de los grupos más vulnerables para que éstas atiendan en un horario compatible con la jornada laboral de las madres,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
66,Trabajo y Previsión Social,Post-natal de seis meses,"En  relación  al post natal, se extenderá hasta seis meses el período del beneficio. Lo anterior se acompañará con un cambio en la cobertura de la licencia por enfermedad del niño. Esta modalidad se ofrecería como opcional al actual régimen de post natal",100%,4,,,7526-13,Proyecto de ley en materia de duración del descanso de maternidad.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7918&prmBoletin=7526-13,,,,,,,,1,,Promulgado,1,3,4,1,8,,,,1,4,,Se considera en el proyecto la extensión a seis meses del postnatal,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
67,Trabajo y Previsión Social,Dirección del Trabajo Autónoma,"Perfeccionar la institucionalidad laboral creando una Dirección del Trabajo Autónoma, con directivos elegidos por la Alta Dirección Pública",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
68,Trabajo y Previsión Social,Reforma Sindical,"Se ampliarán los temas que forman parte de la negociación colectiva, incluyéndose materias como flexibilidad horaria, sistema de turnos y otros (…) Se revisará la legislación para eliminar las actuales restricciones que dificultan que un mayor número de trabajadores negocie colectivamente",55%,2,70%,2,8770-23,Adapta normas laborales al ámbito del turismo.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9177&prmBoletin=8770-23,,,,1,,,,,,Segundo Tramite,"0,7",,13,,13,,1,,,2,,"El proyecto de ley mejora los horarios y temáticas laborales. Sin embargo, sólo aplica al sector del turismo","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
68,Trabajo y Previsión Social,Reforma Sindical,,,,40%,2,7976-13,Modifica las normas de los trabajadores agrícolas establecidas en el Código del Trabajo.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8378&prmBoletin=7976-13,1,,,,,,,,,Primer Tramite,"0,4",3,9,,12,,1,,,2,,"El proyecto de ley permite la celebración de pactos colectivos y regula materias del Código del Trabajo. Sin embargo, sólo aplica para el sector agrícola","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
69,Trabajo y Previsión Social,Perfeccionamiento del Seguro de Cesantía,"Perfeccionar el Seguro de Cesantía, para que un mayor número de trabajadores pueda acceder a él, y con mayores beneficios. Simultáneamente, se dará  la oportunidad a los trabajadores para sustituir una parte de las indemnizaciones que actualmente pueden recibir en caso de ser despedidos, por indemnizaciones a todo evento",40%,3,,,9126-13,Modifica el Seguro de Cesantía de la ley N° 19.728.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9537&prmBoletin=9126-13,1,,,,,,,,,Primer Tramite,"0,4",,5,,5,,,1,,3,,"El proyecto de ley da beneficios a personas cesantes y desempleadas y en temas previsionales. Sin embargo, no se explicíta sobre indemnizaciones.",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
71,Trabajo y Previsión Social,Aumento de salas cunas en empresas,Se propondrá una modificación de la actual normativa de salas cunas para empresas que contratan a 20 o más mujeres,40%,4,,,9087-13,Crea el Seguro Social de Educación Parvularia en niveles de Sala Cuna y Medio Menor.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9494&prmBoletin=9087-13,1,,,,,,,,,Primer Tramite,"0,4",,4,,4,,,,1,4,,Obliga a las empresas a que tener salas cunas cuando hay mas de 19 mujeres empleadas,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
72,Trabajo y Previsión Social,Solución a las malas prácticas en empresas,Se propondrá una solución eficaz para evitar las malas prácticas que distorsionan el concepto de empresa,70%,4,,,4456-13,Establece un nuevo concepto de empresa,https://www.camara.cl/pley/pley_detalle.aspx?prmID=4867&prmBoletin=4456-13,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,,,,1,4,,"Posee indicaciones por parte del ejecutivo que si demuestran su involucramiento en la necesidad de evitar subterfugios que simulen cualquier alternación realizada a través del establecimiento de razones sociales distintas, de la creación de identidades legales, de la división de la empresa, u otros mecanismos que signifiquen para los trabajadores disminución o pérdida de derechos laborales individuales o colectivos, en especial las gratificaciones y las indemnizaciones por años de servicios",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
73,Trabajo y Previsión Social,Promoción del Home-working,Promover la modalidad del teletrabajo y de trabajo en el hogar,40%,4,,,7199-13,Contrato especial de trabajo a distancia.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7596&prmBoletin=7199-13,1,,,,,,,,,Primer Tramite,"0,4",,6,,6,,,,1,4,,Que explícito la promoción del tele trabajo y el trabajo a larga distancia,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
100,Trabajo y Previsión Social,Perfeccionar los multifondos,"En primer lugar se perfeccionará el diseño de multifondos y asignaciones por defecto a la luz de la evaluación de los riesgos financieros y las percepciones políticas manifestadas en la reciente crisis. Ello, para incrementar la participación de las personas en la elección de sus fondos",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
101,Trabajo y Previsión Social,Manual del cotizante,Se propone exigir a cada AFP publicar un manual de recomendaciones de inversión a los afiliados y prohibir que la publicidad de una AFP contradiga lo afirmado por su manual,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
102,Trabajo y Previsión Social,Perfeccionamiento del Subsidio Previsional,"Se propone un perfeccionamiento al actual subsidio previsional, de forma que opere más gradualmente a medida que el beneficiario integre hogares de mayores ingresos y aumente el monto promedio de la renta del capital que haya tenido él y su grupo familiar en los últimos tres años",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
103,Trabajo y Previsión Social,Modificación al Sistema de Pensiones,"Proponemos fomentar la participación voluntaria de las AFP en un nuevo sistema común de recaudación y cobranza de cotizaciones, licitado a un operador privado, como el que ya existe en otros países",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
34,Transporte y Telecomunicaciones,Concesión portuaria,El transporte marítimo se impulsará con la política de concesiones portuarias,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
35,Transporte y Telecomunicaciones,Superintendencia de Telecomunicaciones,"Se creará una superintendencia de Telecomunicaciones, que se hará cargo de la fiscalización del sector",70%,4,,,8034-15,Crea la Superintendencia de Telecomunicaciones.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8428&prmBoletin=8034-15,,,,1,,,,,,Segundo Tramite,"0,7",1,18,,19,,,,1,4,,El proyecto contempla la creación de la superintendencia,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
39,Transporte y Telecomunicaciones,Perfeccionamiento del Sistema de Concesión Radioeléctrico,"Se perfeccionará el sistema de concesiones y permisos radioeléctricos, eliminando trámites burocráticos, flexibilizando el uso, y promoviendo una mejor asignación de los recursos",100%,3,100%,3,7617-15,Modifica la Ley General de Telecomunicaciones derogando el derecho preferente a que se refiere el artículo 13 C).,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8013&prmBoletin=7617-15,,,,,,,,1,,Promulgado,1,,,,0,,,1,,3,,,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
39,Transporte y Telecomunicaciones,Perfeccionamiento del Sistema de Concesión Radioeléctrico,,,,100%,3,7931-15,Relativo al fortalecimiento de la rediodifusión regional y local.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8324&prmBoletin=7931-15,,,,,,,,1,,Promulgado,1,,,,0,,,1,,3,,,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
41,Transporte y Telecomunicaciones,Portabilidad Numérica,"Se implementará la portabilidad del número telefónico, tanto para el servicio de telefonía local como para el servicio de telefonía móvil",100%,4,,,6964-15,Crea un Organismo Administrador para la Implementación de la portabilidad numérica.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7357&prmBoletin=6964-15,,,,,,,,1,,Promulgado,1,1,3,1,5,,,,1,4,,"Se impulsa la portabilidad númerica, tanto para teléfonos fijos como móviles",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
146,Transporte y Telecomunicaciones,Fomento de la Televisión digital,"Impulsaremos el desarrollo de la televisión digital, lo que nos permitirá enriquecer los contenidos y proyectos programáticos de calidad mediante la adjudicación transparente y competitiva de las nuevas señales",70%,3,,,6190-19,Permite la introducción de la televisión digital terrestre.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6579&prmBoletin=6190-19,,,,1,,,,,,Segundo Tramite,"0,7",10,43,,53,,,1,,3,,"La ley regula la televisión digital, sin embargo, no queda claro o no está explícito la disposición para todos los hogares y la gratuidad",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
89,Vivienda y Urbanismo,Gobierno Metropolitano,Para una mejor planificación urbana se creará una instancia administrativa de coordinación a nivel de áreas metropolitanas,70%,4,,,7963-06,Relativo al fortalecimiento de la regionalización del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,1,,,,,,Segundo Tramite,"0,7",18,15,4,37,,,,1,4,,El proyecto establece la coordinación de la administración para las regiones sobre áreas metropolitanas.,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
91,Vivienda y Urbanismo,Reforma de gestión en pequeñas comunas,Se simplificará la planificación y la regulación en comunas pequeñas o con pocos habitantes,70%,4,,,8493-14,"Modifica la Ley General de Urbanismo y Construcciones y leyes complementarias, para establecer un sistema de aportes al espacio público aplicable a los proyectos de construcción.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8894&prmBoletin=8493-14,,,,1,,,,,,Segundo Tramite,"0,7",4,14,,18,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
93,Vivienda y Urbanismo,Descentralización de la Gestión Urbana,"Se perfeccionará la actual institucionalidad de los Ministerios de Obras Públicas, Transportes y Vivienda, para redefinir competencias con miras a una mayor coordinación y descentralización de sus roles en  materias urbanas. Asimismo, en su relación con las responsabilidades que competen a los municipios",70%,4,,,8493-14,"Modifica la Ley General de Urbanismo y Construcciones y leyes complementarias, para establecer un sistema de aportes al espacio público aplicable a los proyectos de construcción.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8894&prmBoletin=8493-14,,,,1,,,,,,Segundo Tramite,"0,7",4,14,,18,,,,1,4,,"Efectivamente hay aportes viales para los proyectos de construcción. Como también la función que debe cumplir el MOP, el ministerio de transporte y el ministerio de vivienda",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
95,Vivienda y Urbanismo,Aportes viales en nuevas edificaciones,"Se enviará al Congreso un proyecto de ley sobre aportes viales, que deban soportar los proyectos de edificación",70%,4,,,8493-14,"Modifica la Ley General de Urbanismo y Construcciones y leyes complementarias, para establecer un sistema de aportes al espacio público aplicable a los proyectos de construcción.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8894&prmBoletin=8493-14,,,,1,,,,,,Segundo Tramite,"0,7",4,14,,18,,,,1,4,,El proyecto establece que cuando se trata de edificaciones a gran escala se deberán realizar obras de mitigación,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
97,Vivienda y Urbanismo,Alianzas público-privadas para contrucción de espacios públicos,"Se establecerán incentivos y mecanismos para alianzas público-privadas  que  permiten  a  las  empresas  participar  en la  construcción espacios públicos urbanos y recuperación de riveras, bordes costeros a lo largo de ríos, lagos y playas",70%,4,,,8493-14,"Modifica la Ley General de Urbanismo y Construcciones y leyes complementarias, para establecer un sistema de aportes al espacio público aplicable a los proyectos de construcción.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8894&prmBoletin=8493-14,,,,1,,,,,,Segundo Tramite,"0,7",4,14,,18,,,,1,4,,El proyecto crea alianzas público privadas para la creación y mejoramiento de areas verdes.,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
